feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,score
6.6,0.38,0.15,4.6,0.65,0.044,25,78,25,0.9931,3.11,12,0.38,10.2,6
7.2,0.24,0.27,1.4,0.85,0.038,31,122,32,0.9927,3.15,72,0.46,10.3,6
6.2,0.35,0.03,1.2,0.55,0.064,29,120,10,0.9934,3.22,36,0.54,9.1,5
6.4,0.26,0.24,6.4,0.95,0.04,27,124,48,0.9903,3.22,63,0.49,12.6,7
6.7,0.25,0.13,1.2,0.9,0.041,81,174,32,0.992,3.14,86,0.42,9.8,5
6.7,0.23,0.31,2.1,0.9,0.046,30,96,46,0.9926,3.33,2,0.64,10.7,8
7.4,0.24,0.29,10.1,0.6,0.05,21,105,37,0.9962,3.13,37,0.35,9.5,5
6.2,0.27,0.43,7.8,0.75,0.056,48,244,50,0.9956,3.1,29,0.51,9,6
6.8,0.3,0.23,4.6,1,0.061,50.5,238.5,15,0.9958,3.32,14,0.6,9.5,5
6,0.27,0.28,4.8,0.75,0.063,31,201,16,0.9964,3.69,52,0.71,10,5
8.6,0.23,0.46,1,0.5,0.054,9,72,12,0.9941,2.95,51,0.49,9.1,6
6.7,0.23,0.31,2.1,0.5,0.046,30,96,27,0.9926,3.33,45,0.64,10.7,8
7.4,0.24,0.29,10.1,0.55,0.05,21,105,46,0.9962,3.13,73,0.35,9.5,5
7.1,0.18,0.36,1.4,0.9,0.043,31,87,26,0.9898,3.26,19,0.37,12.7,7
7,0.32,0.34,1.3,0.95,0.042,20,69,23,0.9912,3.31,67,0.65,12,7
7.4,0.18,0.3,8.8,1,0.064,26,103,41,0.9961,2.94,64,0.56,9.3,5
6.7,0.54,0.28,5.4,1,0.06,21,105,36,0.9949,3.27,60,0.37,9,5
6.8,0.22,0.31,1.4,0.5,0.053,34,114,27,0.9929,3.39,25,0.77,10.6,6
7.1,0.2,0.34,16,0.5,0.05,51,166,39,0.9985,3.21,59,0.6,9.2,6
7.1,0.34,0.2,6.1,0.65,0.063,47,164,43,0.9946,3.17,8,0.42,10,5
7.3,0.22,0.3,8.2,0.9,0.047,42,207,12,0.9966,3.33,63,0.46,9.5,6
7.1,0.43,0.61,11.8,0.95,0.045,54,155,32,0.9974,3.11,8,0.45,8.7,5
7.1,0.44,0.62,11.8,0.55,0.044,52,152,26,0.9975,3.12,95,0.46,8.7,6
7.2,0.39,0.63,11,0.6,0.044,55,156,43,0.9974,3.09,67,0.44,8.7,6
6.8,0.25,0.31,13.3,0.75,0.05,69,202,17,0.9972,3.22,70,0.48,9.7,6
7.1,0.43,0.61,11.8,0.9,0.045,54,155,48,0.9974,3.11,22,0.45,8.7,5
7.1,0.44,0.62,11.8,0.8,0.044,52,152,15,0.9975,3.12,80,0.46,8.7,6
7.2,0.39,0.63,11,0.95,0.044,55,156,13,0.9974,3.09,88,0.44,8.7,6
6.1,0.27,0.43,7.5,0.65,0.049,65,243,22,0.9957,3.12,5,0.47,9,5
6.9,0.24,0.33,1.7,0.65,0.035,47,136,34,0.99,3.26,14,0.4,12.6,7
6.9,0.21,0.33,1.8,0.6,0.034,48,136,22,0.9899,3.25,61,0.41,12.6,7
7.5,0.17,0.32,1.7,0.65,0.04,51,148,24,0.9916,3.21,78,0.44,11.5,7
7.1,0.26,0.29,12.4,0.5,0.044,62,240,22,0.9969,3.04,37,0.42,9.2,6
6,0.34,0.66,15.9,0.75,0.046,26,164,29,0.9979,3.14,63,0.5,8.8,6
8.6,0.265,0.36,1.2,0.75,0.034,15,80,40,0.9913,2.95,65,0.36,11.4,7
9.8,0.36,0.46,10.5,0.5,0.038,4,83,36,0.9956,2.89,93,0.3,10.1,4
6,0.34,0.66,15.9,0.85,0.046,26,164,23,0.9979,3.14,69,0.5,8.8,6
7.4,0.25,0.37,13.5,0.95,0.06,52,192,29,0.9975,3,90,0.44,9.1,5
7.1,0.12,0.32,9.6,0.7,0.054,64,162,28,0.9962,3.4,79,0.41,9.4,5
6,0.21,0.24,12.1,0.5,0.05,55,164,34,0.997,3.34,27,0.39,9.4,5
7.5,0.305,0.4,18.9,0.65,0.059,44,170,31,1,2.99,43,0.46,9,5
7.4,0.25,0.37,13.5,0.8,0.06,52,192,25,0.9975,3,73,0.44,9.1,5
7.3,0.13,0.32,14.4,0.9,0.051,34,109,22,0.9974,3.2,61,0.35,9.2,6
7.1,0.12,0.32,9.6,0.7,0.054,64,162,11,0.9962,3.4,85,0.41,9.4,5
7.1,0.23,0.35,16.5,0.85,0.04,60,171,12,0.999,3.16,93,0.59,9.1,6
7.1,0.23,0.35,16.5,0.75,0.04,60,171,12,0.999,3.16,78,0.59,9.1,6
6.9,0.33,0.28,1.3,0.55,0.051,37,187,38,0.9927,3.27,34,0.6,10.3,5
6.5,0.17,0.54,8.5,0.55,0.082,64,163,28,0.9959,2.89,3,0.39,8.8,6
7.2,0.27,0.46,18.75,0.8,0.052,45,255,40,1,3.04,32,0.52,8.9,5
7.2,0.31,0.5,13.3,0.5,0.056,68,195,38,0.9982,3.01,98,0.47,9.2,5
6.7,0.41,0.34,9.2,0.65,0.049,29,150,21,0.9968,3.22,7,0.51,9.1,5
6.7,0.41,0.34,9.2,0.65,0.049,29,150,43,0.9968,3.22,59,0.51,9.1,5
5.5,0.485,0,1.5,0.9,0.065,8,103,46,0.994,3.63,61,0.4,9.7,4
6,0.31,0.24,3.3,0.95,0.041,25,143,22,0.9914,3.31,26,0.44,11.3,6
7,0.14,0.4,1.7,1,0.035,16,85,10,0.9911,3.19,10,0.42,11.8,6
7.2,0.31,0.5,13.3,0.6,0.056,68,195,39,0.9982,3.01,0,0.47,9.2,5
7.3,0.32,0.48,13.3,0.7,0.06,57,196,49,0.9982,3.04,98,0.5,9.2,5
5.9,0.36,0.04,5.7,0.65,0.046,21,87,26,0.9934,3.22,18,0.51,10.2,5
7.8,0.24,0.32,12.2,0.85,0.054,42,138,14,0.9984,3.01,28,0.54,8.8,5
7.4,0.16,0.31,6.85,0.9,0.059,31,131,42,0.9952,3.29,20,0.34,9.7,5
6.9,0.19,0.28,5,0.65,0.058,14,146,34,0.9952,3.29,33,0.36,9.1,6
6.4,0.13,0.47,1.6,0.85,0.092,40,158,13,0.9928,3.21,30,0.36,9.8,6
6.7,0.19,0.36,1.1,0.6,0.026,63,143,44,0.9912,3.27,93,0.48,11,6
7.4,0.39,0.23,7,1,0.033,29,126,42,0.994,3.14,35,0.42,10.5,5
6.5,0.24,0.32,7.6,0.5,0.038,48,203,48,0.9958,3.45,66,0.54,9.7,7
6.1,0.3,0.56,2.8,0.8,0.044,47,179,18,0.9924,3.3,1,0.57,10.9,7
6.1,0.3,0.56,2.7,0.6,0.046,46,184,13,0.9924,3.31,63,0.57,10.9,6
5.7,0.26,0.25,10.4,0.7,0.02,7,57,23,0.994,3.39,96,0.37,10.6,5
6.5,0.24,0.32,7.6,0.9,0.038,48,203,30,0.9958,3.45,61,0.54,9.7,7
6.5,0.425,0.4,13.1,0.6,0.038,59,241,47,0.9979,3.23,68,0.57,9,5
6.6,0.24,0.27,15.8,0.95,0.035,46,188,41,0.9982,3.24,32,0.51,9.2,5
6.8,0.27,0.22,8.1,0.5,0.034,55,203,15,0.9961,3.19,87,0.52,8.9,5
6.7,0.27,0.31,15.7,0.95,0.036,44,179,34,0.9979,3.26,44,0.56,9.6,5
8.2,0.23,0.4,1.2,0.95,0.027,36,121,13,0.992,3.12,81,0.38,10.7,6
7.1,0.37,0.67,10.5,0.55,0.045,49,155,39,0.9975,3.16,42,0.44,8.7,5
6.8,0.19,0.36,1.9,0.8,0.035,30,96,39,0.9917,3.15,18,0.54,10.8,7
8.1,0.28,0.39,1.9,0.5,0.029,18,79,40,0.9923,3.23,33,0.52,11.8,6
6.3,0.31,0.34,2.2,0.85,0.045,20,77,36,0.9927,3.3,36,0.43,10.2,5
7.1,0.37,0.67,10.5,0.7,0.045,49,155,16,0.9975,3.16,50,0.44,8.7,5
7.9,0.21,0.4,1.2,0.6,0.039,38,107,37,0.992,3.21,64,0.54,10.8,6
8.5,0.21,0.41,4.3,0.7,0.036,24,99,36,0.9947,3.18,16,0.53,9.7,6
8.1,0.2,0.4,2,0.6,0.037,19,87,38,0.9921,3.12,62,0.54,11.2,6
6.3,0.255,0.37,1.1,0.55,0.04,37,114,39,0.9905,3,6,0.39,10.9,6
5.6,0.16,0.27,1.4,0.8,0.044,53,168,49,0.9918,3.28,27,0.37,10.1,6
6.4,0.595,0.14,5.2,0.5,0.058,15,97,32,0.9951,3.38,77,0.36,9,4
6.3,0.34,0.33,4.6,1,0.034,19,80,24,0.9917,3.38,85,0.58,12,7
6.9,0.25,0.3,4.1,0.7,0.054,23,116,13,0.994,2.99,85,0.38,9.4,6
7.9,0.22,0.38,8,0.75,0.043,46,152,38,0.9934,3.12,96,0.32,11.5,7
7.6,0.18,0.46,10.2,0.55,0.055,58,135,14,0.9968,3.14,60,0.43,9.9,6
6.9,0.25,0.3,4.1,0.55,0.054,23,116,27,0.994,2.99,39,0.38,9.4,6
7.2,0.18,0.41,1.2,1,0.048,41,97,45,0.9919,3.14,47,0.45,10.4,5
8.2,0.23,0.4,7.5,0.75,0.049,12,76,30,0.9966,3.06,94,0.84,9.7,6
7.4,0.24,0.42,14,0.65,0.066,48,198,43,0.9979,2.89,62,0.42,8.9,6
7.4,0.24,0.42,14,0.6,0.066,48,198,35,0.9979,2.89,38,0.42,8.9,6
6.1,0.32,0.24,1.5,0.9,0.036,38,124,25,0.9898,3.29,9,0.42,12.4,7
5.2,0.44,0.04,1.4,0.9,0.036,43,119,23,0.9894,3.36,0,0.33,12.1,8
5.2,0.44,0.04,1.4,1,0.036,43,119,13,0.9894,3.36,28,0.33,12.1,8
6.1,0.32,0.24,1.5,0.7,0.036,38,124,16,0.9898,3.29,57,0.42,12.4,7
6.4,0.22,0.56,14.5,0.5,0.055,27,159,23,0.998,2.98,28,0.4,9.1,5
6.3,0.36,0.3,4.8,0.9,0.049,14,85,34,0.9932,3.28,50,0.39,10.6,5
7.4,0.24,0.42,14,0.95,0.066,48,198,35,0.9979,2.89,74,0.42,8.9,6
6.7,0.24,0.35,13.1,0.5,0.05,64,205,39,0.997,3.15,11,0.5,9.5,5
7,0.23,0.36,13,0.8,0.051,72,177,34,0.9972,3.16,21,0.49,9.8,5
8.4,0.27,0.46,8.7,0.6,0.048,39,197,49,0.9974,3.14,25,0.59,9.6,6
6.7,0.46,0.18,2.4,0.55,0.034,25,98,20,0.9896,3.08,40,0.44,12.6,7
7.5,0.29,0.31,8.95,0.5,0.055,20,151,16,0.9968,3.08,93,0.54,9.3,5
9.8,0.42,0.48,9.85,0.5,0.034,5,110,18,0.9958,2.87,1,0.29,10,5
7.1,0.3,0.46,1.5,0.9,0.066,29,133,28,0.9906,3.12,49,0.54,12.7,6
7.9,0.19,0.45,1.5,0.9,0.045,17,96,29,0.9917,3.13,50,0.39,11,6
7.6,0.48,0.37,0.8,0.85,0.037,4,100,22,0.9902,3.03,20,0.39,11.4,4
6.3,0.22,0.43,4.55,1,0.038,31,130,48,0.9918,3.35,30,0.33,11.5,7
7.5,0.27,0.31,17.7,0.5,0.051,33,173,28,0.999,3.09,65,0.64,10.2,5
6.9,0.23,0.4,7.5,0.6,0.04,50,151,27,0.9927,3.11,78,0.27,11.4,6
7.2,0.32,0.47,5.1,1,0.044,19,65,28,0.991,3.03,42,0.41,12.6,4
5.9,0.23,0.3,12.9,0.5,0.054,57,170,36,0.9972,3.28,4,0.39,9.4,5
6,0.67,0.07,1.2,0.6,0.06,9,108,41,0.9931,3.11,16,0.35,8.7,4
6.4,0.25,0.32,5.5,0.6,0.049,41,176,42,0.995,3.19,74,0.68,9.2,6
6.4,0.33,0.31,5.5,0.9,0.048,42,173,20,0.9951,3.19,33,0.66,9.3,6
7.1,0.34,0.15,1.2,0.6,0.053,61,183,21,0.9936,3.09,19,0.43,9.2,5
6.8,0.28,0.4,22,0.55,0.048,48,167,31,1.001,2.93,58,0.5,8.7,5
6.9,0.27,0.4,14,0.85,0.05,64,227,19,0.9979,3.18,24,0.58,9.6,6
6.8,0.26,0.56,11.9,0.5,0.043,64,226,40,0.997,3.02,16,0.63,9.3,5
6.8,0.29,0.56,11.9,0.5,0.043,66,230,27,0.9972,3.02,5,0.63,9.3,5
6.7,0.24,0.41,9.4,0.5,0.04,49,166,25,0.9954,3.12,46,0.61,9.9,6
5.9,0.3,0.23,4.2,0.75,0.038,42,119,30,0.9924,3.15,38,0.5,11,5
6.8,0.53,0.35,3.8,0.65,0.034,26,109,47,0.9906,3.26,52,0.57,12.7,8
6.5,0.28,0.28,8.5,1,0.047,54,210,41,0.9962,3.09,34,0.54,8.9,4
6.6,0.28,0.28,8.5,0.6,0.052,55,211,15,0.9962,3.09,27,0.55,8.9,6
6.8,0.28,0.4,22,0.5,0.048,48,167,42,1.001,2.93,68,0.5,8.7,5
6.8,0.28,0.36,8,0.8,0.045,28,123,11,0.9928,3.02,58,0.37,11.4,6
6.6,0.15,0.34,5.1,0.7,0.055,34,125,13,0.9942,3.36,19,0.42,9.6,5
6.4,0.29,0.44,3.6,0.85,0.2,75,181,16,0.9942,3.02,60,0.41,9.1,5
6.4,0.3,0.45,3.5,0.95,0.197,76,180,49,0.9942,3.02,68,0.39,9.1,6
6.4,0.29,0.44,3.6,0.75,0.197,75,183,40,0.9942,3.01,32,0.38,9.1,5
6.8,0.26,0.24,7.8,0.6,0.052,54,214,25,0.9961,3.13,78,0.47,8.9,5
7.1,0.32,0.24,13.1,0.85,0.05,52,204,31,0.998,3.1,75,0.49,8.8,5
6.8,0.26,0.24,7.8,0.95,0.052,54,214,18,0.9961,3.13,59,0.47,8.9,5
6.8,0.27,0.26,16.1,0.85,0.049,55,196,14,0.9984,3.15,47,0.5,9.3,5
7.1,0.32,0.24,13.1,0.6,0.05,52,204,50,0.998,3.1,51,0.49,8.8,5
6.9,0.54,0.32,13.2,0.7,0.05,53,236,11,0.9973,3.2,19,0.5,9.6,5
6.8,0.26,0.34,13.9,0.6,0.034,39,134,46,0.9949,3.33,50,0.53,12,6
5.8,0.28,0.35,2.3,0.65,0.053,36,114,16,0.9924,3.28,1,0.5,10.2,4
6.4,0.21,0.5,11.6,0.75,0.042,45,153,34,0.9972,3.15,25,0.43,8.8,5
7,0.16,0.32,8.3,1,0.045,38,126,43,0.9958,3.21,13,0.34,9.2,5
10.2,0.44,0.88,6.2,0.65,0.049,20,124,48,0.9968,2.99,11,0.51,9.9,4
6.8,0.57,0.29,2.2,0.75,0.04,15,77,37,0.9938,3.32,93,0.74,10.2,5
6.1,0.4,0.31,0.9,0.6,0.048,23,170,45,0.993,3.22,87,0.77,9.5,6
5.6,0.245,0.25,9.7,0.8,0.032,12,68,39,0.994,3.31,84,0.34,10.5,5
6.8,0.18,0.38,1.4,0.65,0.038,35,111,12,0.9918,3.32,32,0.59,11.2,7
7,0.16,0.32,8.3,0.6,0.045,38,126,10,0.9958,3.21,74,0.34,9.2,5
6.7,0.13,0.29,5.3,0.9,0.051,31,122,14,0.9944,3.44,68,0.37,9.7,6
6.2,0.25,0.25,1.4,0.9,0.03,35,105,50,0.9912,3.3,41,0.44,11.1,7
5.8,0.26,0.24,9.2,0.5,0.044,55,152,15,0.9961,3.31,78,0.38,9.4,5
7.5,0.27,0.36,7,0.9,0.036,45,164,22,0.9939,3.03,22,0.33,11,5
5.8,0.26,0.24,9.2,0.9,0.044,55,152,36,0.9961,3.31,58,0.38,9.4,5
5.7,0.28,0.24,17.5,0.95,0.044,60,167,36,0.9989,3.31,21,0.44,9.4,5
7.5,0.23,0.36,7,0.5,0.036,43,161,48,0.9938,3.04,34,0.32,11,5
7.5,0.27,0.36,7,0.7,0.036,45,164,14,0.9939,3.03,1,0.33,11,5
7.2,0.685,0.21,9.5,0.7,0.07,33,172,26,0.9971,3,100,0.55,9.1,6
6.2,0.25,0.25,1.4,0.9,0.03,35,105,14,0.9912,3.3,81,0.44,11.1,7
6.5,0.19,0.3,0.8,0.8,0.043,33,144,23,0.9936,3.42,97,0.39,9.1,6
6.3,NA,0.22,1.8,0.95,0.046,31,140,40,0.9929,3.39,97,0.54,10.4,6
7.1,0.24,0.41,17.8,1,0.046,39,145,44,0.9998,3.32,67,0.39,8.7,5
6.4,0.17,0.32,2.4,1,0.048,41,200,18,0.9938,3.5,66,0.5,9.7,6
7.1,0.25,0.32,10.3,1,0.041,66,272,38,0.9969,3.17,97,0.52,9.1,6
6.4,0.17,0.32,2.4,0.65,0.048,41,200,41,0.9938,3.5,29,0.5,9.7,6
7.1,0.24,0.41,17.8,0.8,0.046,39,145,46,0.9998,3.32,35,0.39,8.7,5
6.8,0.64,0.08,9.7,0.5,0.062,26,142,50,0.9972,3.37,2,0.46,8.9,4
8.3,0.28,0.4,7.8,0.65,0.041,38,194,42,0.9976,3.34,90,0.51,9.6,6
8.2,0.27,0.39,7.8,0.95,0.039,49,208,35,0.9976,3.31,46,0.51,9.5,6
7.2,0.23,0.38,14.3,0.7,0.058,55,194,21,0.9979,3.09,35,0.44,9,6
7.2,0.23,0.38,14.3,1,0.058,55,194,15,0.9979,3.09,15,0.44,9,6
7.2,0.23,0.38,14.3,0.8,0.058,55,194,34,0.9979,3.09,93,0.44,9,6
7.2,0.23,0.38,14.3,0.7,0.058,55,194,18,0.9979,3.09,99,0.44,9,6
6.8,0.52,0.32,13.2,1,0.044,54,221,19,0.9972,3.27,43,0.5,9.6,6
7,0.26,0.59,1.4,0.8,0.037,40,120,35,0.9918,3.34,48,0.41,11.1,7
6.2,0.25,0.21,15.55,0.5,0.039,28,159,48,0.9982,3.48,70,0.64,9.6,6
7.3,0.32,0.23,13.7,0.5,0.05,49,197,47,0.9985,3.2,53,0.46,8.7,5
7.7,0.31,0.26,7.8,0.75,0.031,23,90,19,0.9944,3.13,91,0.5,10.4,5
7.1,0.21,0.37,2.4,0.75,0.026,23,100,44,0.9903,3.15,66,0.38,11.4,7
6.8,0.24,0.34,2.7,0.5,0.047,64.5,218.5,34,0.9934,3.3,49,0.58,9.7,6
6.9,0.4,0.56,11.2,0.95,0.043,40,142,13,0.9975,3.14,1,0.46,8.7,5
6.1,0.18,0.36,2,0.9,0.038,20,249.5,43,0.9923,3.37,54,0.79,11.3,6
6.8,0.21,0.27,2.1,0.8,0.03,26,139,29,0.99,3.16,88,0.61,12.6,7
5.8,0.2,0.27,1.4,1,0.031,12,77,27,0.9905,3.25,79,0.36,10.9,7
5.6,0.19,0.26,1.4,0.55,0.03,12,76,36,0.9905,3.25,17,0.37,10.9,7
6.1,0.41,0.14,10.4,0.55,0.037,18,119,23,0.996,3.38,27,0.45,10,5
5.9,0.21,0.28,4.6,0.7,0.053,40,199,25,0.9964,3.72,92,0.7,10,4
8.5,0.26,0.21,16.2,0.75,0.074,41,197,20,0.998,3.02,81,0.5,9.8,3
6.9,0.4,0.56,11.2,0.6,0.043,40,142,23,0.9975,3.14,40,0.46,8.7,5
5.8,0.24,0.44,3.5,1,0.029,5,109,38,0.9913,3.53,11,0.43,11.7,3
5.8,0.24,0.39,1.5,0.55,0.054,37,158,48,0.9932,3.21,46,0.52,9.3,6
6.7,0.26,0.39,1.1,0.5,0.04,45,147,19,0.9935,3.32,15,0.58,9.6,8
6.3,0.35,0.3,5.7,0.5,0.035,8,97,32,0.9927,3.27,63,0.41,11,7
6.3,0.35,0.3,5.7,0.85,0.035,8,97,25,0.9927,3.27,9,0.41,11,7
6.4,0.23,0.39,1.8,0.5,0.032,23,118,47,0.9912,3.32,9,0.5,11.8,6
5.8,0.36,0.38,0.9,0.85,0.037,3,75,28,0.9904,3.28,9,0.34,11.4,4
6.9,0.115,0.35,5.4,0.5,0.048,36,108,40,0.9939,3.32,97,0.42,10.2,6
6.9,0.29,0.4,19.45,0.6,0.043,36,156,38,0.9996,2.93,4,0.47,8.9,5
6.9,0.28,0.4,8.2,0.9,0.036,15,95,13,0.9944,3.17,80,0.33,10.2,5
7.2,0.29,0.4,13.6,0.95,0.045,66,231,31,0.9977,3.08,73,0.59,9.6,6
6.2,0.24,0.35,1.2,0.6,0.038,22,167,43,0.9912,3.1,77,0.48,10.6,6
6.9,0.29,0.4,19.45,0.65,0.043,36,156,46,0.9996,2.93,80,0.47,8.9,5
6.9,0.32,0.26,8.3,1,0.053,32,180,27,0.9965,3.25,71,0.51,9.2,6
5.3,0.58,0.07,6.9,0.85,0.043,34,149,20,0.9944,3.34,77,0.57,9.7,5
5.3,0.585,0.07,7.1,0.6,0.044,34,145,19,0.9945,3.34,99,0.57,9.7,6
5.4,0.59,0.07,7,0.55,0.045,36,147,37,0.9944,3.34,84,0.57,9.7,6
6.9,0.32,0.26,8.3,1,0.053,32,180,26,0.9965,3.25,78,0.51,9.2,6
5.2,0.6,0.07,7,1,0.044,33,147,30,0.9944,3.33,26,NA,9.7,5
5.8,0.25,0.26,13.1,0.55,0.051,44,148,41,0.9972,3.29,88,0.38,9.3,5
6.6,0.58,0.3,5.1,1,0.057,30,123,35,0.9949,3.24,73,0.38,9,5
7,0.29,0.54,10.7,0.5,0.046,59,234,43,0.9966,3.05,8,0.61,9.5,5
6.6,0.19,0.41,8.9,0.65,0.046,51,169,39,0.9954,3.14,37,0.57,9.8,6
6.7,0.2,0.41,9.1,0.8,0.044,50,166,13,0.9954,3.14,37,0.58,9.8,6
